clinic_id,clinic_name,remoteness_score,population_served,medicine_name,medicine_category,month,year,month_num,is_rainy_season,beginning_stock,quantity_received,quantity_dispensed,ending_stock,patient_visits,days_since_last_delivery,consumption_rate,stock_to_consumption_ratio,rolling_avg_consumption,prev_month_stockout,stockout
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-01,2021,1,0,136,103,55,184,64,25,1.83,3.35,55.0,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-02,2021,2,0,73,127,45,155,44,27,1.5,3.44,50.0,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-03,2021,3,0,55,104,76,83,86,18,2.53,1.09,58.67,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-04,2021,4,0,81,115,64,132,51,34,2.13,2.06,61.67,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-05,2021,5,0,72,114,77,109,68,26,2.57,1.42,72.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-06,2021,6,1,122,138,88,172,72,10,2.93,1.95,76.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-07,2021,7,1,122,149,106,165,108,34,3.53,1.56,90.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-08,2021,8,1,158,195,80,273,67,10,2.67,3.41,91.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-09,2021,9,1,114,172,67,219,73,24,2.23,3.27,84.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-10,2021,10,1,123,196,97,222,114,14,3.23,2.29,81.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-11,2021,11,1,185,184,87,282,87,21,2.9,3.24,83.67,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2021-12,2021,12,0,112,102,71,143,66,21,2.37,2.01,85.0,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2022-01,2022,1,0,101,110,47,164,37,17,1.57,3.49,68.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2022-02,2022,2,0,82,140,49,173,53,32,1.63,3.53,55.67,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2022-03,2022,3,0,78,99,46,131,52,29,1.53,2.85,47.33,0,0
1,Davao City RHU,0.1,50000,Amoxicillin 500mg,Antibiotic,2022-04,2022,4,0,72,122,66,128,70,9,2.2,1.94,53.67,0,0
